username,LABEL,created_at,user_id,account_age_years,total_posts,followers_count,following_count,verified,verified_type,statuses_count,posting_frequency,tweet_text,tweet_created_at,is_retweet,has_media,urls,mentions,hashtags,matched_handler,matched_condition,is_rt
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,RT @LifeCheating: Words To Live By From A 90 Year-Old: http://t.co/wpveiRtBTH,2014-05-13 00:30:35+00:00,True,True,https://x.com/LifeCheating/status/465993578754605056/photo/1,,,nil,no,True
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,"RT @iTunesPodcasts: Do you believe? The @ParanormalPdcst covers UFOs, ghosts, Bigfoot, and more. http://t.co/UyhgIwrtqZ http://t.co/7WasEw1â€¦",2014-10-25 15:20:28+00:00,True,False,http://tw.itunes.com/6017qxvV,"iTunesPodcasts,ParanormalPdcst",,nil,no,True
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,RT @LifeCheating: http://t.co/2EEedtx0It,2015-06-30 02:22:56+00:00,True,True,https://x.com/LifeCheating/status/615692526025109504/photo/1,,,nil,no,True
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,RT @LifeCheating: https://t.co/ubUBHxzZSm,2015-11-26 19:26:43+00:00,True,True,https://x.com/LifeCheating/status/669950099481567233/photo/1,,,nil,no,True
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,RT @LifeCheating: Don't let this happen to you. https://t.co/Y2nptu6B8Z,2015-11-28 23:01:57+00:00,True,True,https://x.com/LifeCheating/status/670735215887835137/photo/1,,,nil,no,True
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,"RT @LifeCheating: When you give up your principals to socially conform, they were never your principals. https://t.co/398n9GBJ3y",2015-12-04 22:27:50+00:00,True,True,https://x.com/LifeCheating/status/672818926301093888/photo/1,,,nil,no,True
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,Tricia are Eclipse 2017 ready. https://t.co/iRQjHYlZtg,2017-08-21 18:41:13+00:00,False,True,https://x.com/MattElzey/status/899702947810037760/photo/1,,,nil,no,False
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,https://t.co/DbUVOPlvHN,2018-06-08 17:34:23+00:00,False,True,https://x.com/MattElzey/status/1005141000304590848/photo/1,,,nil,no,False
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,True story.... https://t.co/zWUmMxKyL9,2018-12-11 21:34:19+00:00,False,True,https://x.com/MattElzey/status/1072605523193806855/photo/1,,,nil,no,False
MattElzey,unreliable,2009-06-13T20:30:40+00:00,46957555,16.0876712328767,142,136,268,False,none,142,8.82663487738419,"RT @Fact: If you replace the ""W"" in ""where"" ""what"" and ""when"" with ""T"" you get answers to the questions.",2019-07-11 02:15:43+00:00,True,False,,Fact,,nil,no,True
