fold,feature,drop_F1
4,mnum:WC,0.029259342807729904
4,mnum:Analytic,-0.029624518429072544
4,mnum:Clout,-0.029624518429072544
4,mnum:Authentic,-0.029624518429072544
4,mnum:Tone,-0.029624518429072544
4,mnum:WPS,-0.11384992030153318
4,mnum:Sixltr,0.0
4,mnum:Dic,-0.09236961646828823
4,mnum:function,-0.029624518429072544
4,mnum:pronoun,0.0
4,mnum:ppron,0.0
4,mnum:i,0.0
4,mnum:we,0.0
4,mnum:you,0.0
4,mnum:shehe,0.0
4,mnum:they,0.0
4,mnum:ipron,0.0
4,mnum:article,0.0
4,mnum:prep,0.0
4,mnum:auxverb,0.0
4,mnum:adverb,0.0
4,mnum:conj,0.0
4,mnum:negate,0.0
4,mnum:verb,-0.029624518429072544
4,mnum:adj,-0.029624518429072544
4,mnum:compare,0.0
4,mnum:interrog,0.0
4,mnum:number,-0.029624518429072544
4,mnum:quant,0.0
4,mnum:affect,-0.05836980964900873
4,mnum:posemo,-0.029624518429072544
4,mnum:negemo,0.0
4,mnum:anx,0.0
4,mnum:anger,0.0
4,mnum:sad,0.0
4,mnum:social,0.0
4,mnum:family,0.0
4,mnum:friend,0.0
4,mnum:female,0.0
4,mnum:male,0.0
4,mnum:cogproc,-0.029624518429072544
4,mnum:insight,0.0
4,mnum:cause,0.0
4,mnum:discrep,-0.029624518429072544
4,mnum:tentat,0.0
4,mnum:certain,0.0
4,mnum:differ,0.0
4,mnum:percept,0.0
4,mnum:see,0.0
4,mnum:hear,0.0
4,mnum:feel,0.0
4,mnum:bio,-0.05836980964900873
4,mnum:body,0.0
4,mnum:health,0.0
4,mnum:sexual,0.0
4,mnum:ingest,0.0
4,mnum:drives,-0.029624518429072544
4,mnum:affiliation,-0.05836980964900873
4,mnum:achieve,-0.029624518429072544
4,mnum:power,0.0
4,mnum:reward,0.0
4,mnum:risk,0.0
4,mnum:focuspast,0.0
4,mnum:focuspresent,-0.05836980964900873
4,mnum:focusfuture,0.0
4,mnum:relativ,0.0
4,mnum:motion,-0.029624518429072544
4,mnum:space,-0.029624518429072544
4,mnum:time,-0.029624518429072544
4,mnum:work,0.0
4,mnum:leisure,0.0
4,mnum:home,0.0
4,mnum:money,0.0
4,mnum:relig,0.0
4,mnum:death,0.0
4,mnum:informal,0.0
4,mnum:swear,0.0
4,mnum:netspeak,0.0
4,mnum:assent,0.0
4,mnum:nonflu,0.0
4,mnum:filler,0.0
4,mnum:AllPunc,0.0
4,mnum:Period,0.0
4,mnum:Comma,0.0
4,mnum:Colon,0.0
4,mnum:SemiC,0.0
4,mnum:QMark,0.0
4,mnum:Exclam,0.0
4,mnum:Dash,0.0
4,mnum:Quote,0.0
4,mnum:Apostro,0.0
4,mnum:Parenth,0.0
4,mnum:OtherP,0.0
