fold,feature,drop_F1
5,mnum:WC,0.09852216748768472
5,mnum:Analytic,0.03503010399562123
5,mnum:Clout,0.058862902021967645
5,mnum:Authentic,-0.028461959496442257
5,mnum:Tone,-0.0630541871921182
5,mnum:WPS,-0.03369071766637688
5,mnum:Sixltr,0.0
5,mnum:Dic,0.0630541871921183
5,mnum:function,0.03503010399562123
5,mnum:pronoun,0.029054380372838806
5,mnum:ppron,0.0
5,mnum:i,0.0
5,mnum:we,0.0
5,mnum:you,0.0
5,mnum:shehe,0.0
5,mnum:they,0.0
5,mnum:ipron,0.0
5,mnum:article,0.0
5,mnum:prep,0.0
5,mnum:auxverb,0.0
5,mnum:adverb,0.029054380372838806
5,mnum:conj,0.0
5,mnum:negate,0.0
5,mnum:verb,0.0
5,mnum:adj,-0.03369071766637688
5,mnum:compare,0.029054380372838806
5,mnum:interrog,0.0
5,mnum:number,0.03503010399562123
5,mnum:quant,0.029054380372838806
5,mnum:affect,0.029054380372838806
5,mnum:posemo,0.0
5,mnum:negemo,-0.03369071766637688
5,mnum:anx,0.0
5,mnum:anger,0.0630541871921183
5,mnum:sad,0.0
5,mnum:social,0.007574076539593855
5,mnum:family,0.0
5,mnum:friend,0.0
5,mnum:female,0.0
5,mnum:male,0.0
5,mnum:cogproc,0.03503010399562123
5,mnum:insight,0.0
5,mnum:cause,-0.03369071766637688
5,mnum:discrep,0.0630541871921183
5,mnum:tentat,0.0
5,mnum:certain,0.029054380372838806
5,mnum:differ,0.029054380372838806
5,mnum:percept,0.0
5,mnum:see,0.0
5,mnum:hear,0.0
5,mnum:feel,0.0
5,mnum:bio,0.0
5,mnum:body,0.0
5,mnum:health,0.0
5,mnum:sexual,0.0
5,mnum:ingest,0.029054380372838806
5,mnum:drives,0.0
5,mnum:affiliation,0.0
5,mnum:achieve,-0.03369071766637688
5,mnum:power,0.029054380372838806
5,mnum:reward,0.0630541871921183
5,mnum:risk,0.0
5,mnum:focuspast,-0.028461959496442257
5,mnum:focuspresent,0.029054380372838806
5,mnum:focusfuture,-0.03369071766637688
5,mnum:relativ,-0.003698192797191635
5,mnum:motion,0.0
5,mnum:space,-0.05648998752447032
5,mnum:time,-0.028461959496442257
5,mnum:work,-0.03369071766637688
5,mnum:leisure,-0.03369071766637688
5,mnum:home,0.0
5,mnum:money,0.0
5,mnum:relig,0.0
5,mnum:death,0.0
5,mnum:informal,-0.028461959496442257
5,mnum:swear,0.0
5,mnum:netspeak,0.07163814060365786
5,mnum:assent,0.0
5,mnum:nonflu,0.0
5,mnum:filler,0.0
5,mnum:AllPunc,0.0
5,mnum:Period,0.0
5,mnum:Comma,0.0
5,mnum:Colon,0.0
5,mnum:SemiC,0.0
5,mnum:QMark,0.0
5,mnum:Exclam,0.0
5,mnum:Dash,0.0
5,mnum:Quote,0.0
5,mnum:Apostro,0.0
5,mnum:Parenth,0.0
5,mnum:OtherP,0.0
