fold,feature,drop_F1
1,mnum:WC,0.05664830841856816
1,mnum:Analytic,0.025137686860739583
1,mnum:Clout,0.0813876868607396
1,mnum:Authentic,-0.005281893558840789
1,mnum:Tone,0.08942340114645392
1,mnum:WPS,-0.034769433882294365
1,mnum:Sixltr,0.08942340114645392
1,mnum:Dic,0.047724559447612225
1,mnum:function,0.0
1,mnum:pronoun,0.0
1,mnum:ppron,0.0322805440035967
1,mnum:i,0.0
1,mnum:we,0.0
1,mnum:you,0.0
1,mnum:shehe,0.0
1,mnum:they,0.0
1,mnum:ipron,0.0
1,mnum:article,0.0
1,mnum:prep,0.025137686860739583
1,mnum:auxverb,0.0
1,mnum:adverb,0.0
1,mnum:conj,0.0
1,mnum:negate,0.0
1,mnum:verb,-0.00787389615084333
1,mnum:adj,-0.005281893558840789
1,mnum:compare,0.0
1,mnum:interrog,0.0
1,mnum:number,-0.005281893558840789
1,mnum:quant,0.0
1,mnum:affect,0.10332301504606778
1,mnum:posemo,0.025137686860739583
1,mnum:negemo,0.0
1,mnum:anx,0.0
1,mnum:anger,0.0
1,mnum:sad,0.0
1,mnum:social,0.025137686860739583
1,mnum:family,0.0
1,mnum:friend,0.0
1,mnum:female,0.0813876868607396
1,mnum:male,0.0
1,mnum:cogproc,0.047724559447612225
1,mnum:insight,0.0
1,mnum:cause,0.05066216238521515
1,mnum:discrep,0.0322805440035967
1,mnum:tentat,0.0
1,mnum:certain,0.0322805440035967
1,mnum:differ,0.0322805440035967
1,mnum:percept,-0.02486231313926035
1,mnum:see,0.0322805440035967
1,mnum:hear,0.0
1,mnum:feel,0.0
1,mnum:bio,0.025137686860739583
1,mnum:body,0.0
1,mnum:health,0.0
1,mnum:sexual,0.0322805440035967
1,mnum:ingest,0.0
1,mnum:drives,0.0
1,mnum:affiliation,0.0
1,mnum:achieve,-0.034769433882294365
1,mnum:power,-0.02486231313926035
1,mnum:reward,0.0
1,mnum:risk,0.0
1,mnum:focuspast,0.0
1,mnum:focuspresent,-0.005281893558840789
1,mnum:focusfuture,0.0
1,mnum:relativ,0.05664830841856816
1,mnum:motion,-0.031112313139260328
1,mnum:space,0.05066216238521515
1,mnum:time,0.020958120297272176
1,mnum:work,0.05664830841856816
1,mnum:leisure,0.025137686860739583
1,mnum:home,0.025137686860739583
1,mnum:money,-0.031112313139260328
1,mnum:relig,0.0
1,mnum:death,0.0
1,mnum:informal,0.025137686860739583
1,mnum:swear,0.0
1,mnum:netspeak,0.0
1,mnum:assent,0.0
1,mnum:nonflu,0.0
1,mnum:filler,0.0
1,mnum:AllPunc,0.0
1,mnum:Period,0.0
1,mnum:Comma,0.0
1,mnum:Colon,0.0
1,mnum:SemiC,0.0
1,mnum:QMark,0.0
1,mnum:Exclam,0.0
1,mnum:Dash,0.0
1,mnum:Quote,0.0
1,mnum:Apostro,0.0
1,mnum:Parenth,0.0
1,mnum:OtherP,0.0
