username,LABEL,created_at,user_id,account_age_years,total_posts,followers_count,following_count,verified,verified_type,statuses_count,posting_frequency,tweet_text,tweet_created_at,is_retweet,has_media,urls,mentions,hashtags,matched_handler,matched_condition
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,"@MarkDavis Excellent podcast again today.
Apparently #GovAbbott was the only one smoking the THC peace-pipe.",2025-06-24 21:43:34+00:00,True,False,,MarkDavis,GovAbbott,nil,no
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,@grok what is ideal number of charcoal brickettes for grilling burgers?,2025-06-22 21:55:24+00:00,False,False,,grok,,nil,no
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,"@MarkDavis 
Heard a Happy Birthday to Tammy Wynette on the Mark Davis Show Podcast today.  Had to look this song up and listen again.   Definitely a voice on the radio from my childhood. 

https://t.co/UZGWzKHMbN",2025-05-05 18:31:59+00:00,False,False,https://youtu.be/AAwHbbpwC3A?feature=shared,MarkDavis,,nil,no
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,@aaron_terrell @toolboxhero @JulieBanderas I watch on Rumble.,2025-04-13 03:00:17+00:00,True,False,,"aaron_terrell,toolboxhero,JulieBanderas",,nil,no
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,RT @SholdonDaniels: Hey Brother!  I hope y’all are doing well!  The kids are getting big!,2025-03-10 18:33:50+00:00,True,False,,SholdonDaniels,,nil,no
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,"@SholdonDaniels Hello Sholdon,
I noticed your name on a @MarkDavis
Post and said, ""I know that guy!""  We moved to Corinth to be closer to my job in Lewisville.  
I wish you all the best!",2025-03-10 18:22:08+00:00,True,False,,"SholdonDaniels,MarkDavis",,nil,no
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,"@MarkDavis I attended church with @SholdonDaniels in Sherman, Texas after he returned as an attorney.   Beautiful young family.   I wish him luck.",2025-03-10 18:13:49+00:00,True,False,,"MarkDavis,SholdonDaniels",,nil,no
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,"@MarkDavis @ProducerRondaK @660KSKY I listen to the Ben Shapiro podcasts at times, but that 1.3 × makes him really fast.  LOL.
Your podcast and others has replaced my TV news fix, plus a couple of FOX reruns on Rumble.  COVID is when I stopped watching TV news.  Honestly don't miss it.   Blessings!",2025-02-13 04:13:19+00:00,True,False,,"MarkDavis,ProducerRondaK,660KSKY",,nil,no
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,@ProducerRondaK @MarkDavis @660KSKY Honestly the podcast allows listening at 1.3 × speed without the commercials so I can get all three hours in about 75 minutes.,2025-02-12 18:31:41+00:00,True,False,,"ProducerRondaK,MarkDavis,660KSKY",,nil,no
mruss1997,unreliable,2015-04-09T21:18:26+00:00,3152744097,10.263013698630138,264,245,627,False,none,264,25.723438334223168,"@ProducerRondaK @MarkDavis @660KSKY Wow!  Thanks for the podcast today February 12th and yesterday.

I find it interesting your radio show is the focus of TDS-folks  yesterday and today.  I guess those folks are listening  too.   Congratulations on the wide audience appeal.",2025-02-12 18:28:59+00:00,True,False,,"ProducerRondaK,MarkDavis,660KSKY",,nil,no
