feature,n_folds,selected_frac,sign_consistency,mean_abs_drop,mean_drop,majority_sign,score
user:total_posts,5,1.0,1.0,0.03357209404302312,0.03357209404302312,1,0.03357209404302312
user:posting_frequency,5,1.0,0.8,0.03408139252640977,0.029113385308183016,1,0.027265114021127818
user:HU_TweetPercent_Retweet,5,1.0,0.8,0.02545216603805679,0.0152115952352927,1,0.02036173283044543
user:U_TweetNumDay,5,1.0,0.6,0.02813958513770793,0.024541151537749557,1,0.016883751082624757
user:retweet_ratio,5,1.0,0.6,0.0242412110308601,0.017054262937839883,1,0.01454472661851606
user:followers_count,5,1.0,0.6,0.022620716510172285,0.002982364242296145,-1,0.013572429906103372
user:U_FollowerNumDay,5,1.0,0.8,0.016410709033422784,-0.015855660057321176,-1,0.013128567226738228
user:U_AccountAge_days,5,1.0,0.6,0.021242850579826646,0.009168447805021449,1,0.012745710347895987
user:retweet_count,5,1.0,0.8,0.014463492905899461,0.012858205093535146,1,0.01157079432471957
user:HU_TweetPercent_Original,5,1.0,0.6,0.01722360788571775,0.010998850429362387,1,0.01033416473143065
user:U_ListedNum,5,1.0,0.6,0.01242677144521541,-0.006905659238718347,1,0.007456062867129245
user:U_FolloweeNumDay,5,1.0,0.6,0.00985861524680733,-0.004191888812279041,-1,0.005915169148084398
user:U_ProfileUrl,5,1.0,0.6,0.00914557821949549,0.006169063013689559,1,0.005487346931697294
user:following_count,5,1.0,0.8,0.006723421767936925,-0.005340263016357122,-1,0.0053787374143495405
user:HU_AverageInterval_days,5,1.0,0.8,0.0056538937984769505,0.0049629356338345715,1,0.004523115038781561
user:U_ListedNumDay,5,1.0,0.8,0.0055901273332044366,0.003875197683183501,1,0.004472101866563549
user:verified,5,1.0,0.8,0.005179900273431782,0.0017181017609233331,1,0.004143920218745426
user:follower_to_followee_ratio,5,1.0,1.0,0.00385804169984304,0.00385804169984304,1,0.00385804169984304
user:HU_TweetNum,5,1.0,0.6,0.003476065736508626,0.0014851251865697678,1,0.0020856394419051755
